sequence,commit,parents,date,author,subject
1,2beff13ad16cabeb0da8b65405c06c2ec48ad0b9,,2025-08-31T13:47:20-05:00,illi,Initial commit with proper file tracking
2,133c4dfed3c095bba8fdb81d25f9565569ea33d0,2beff13ad16cabeb0da8b65405c06c2ec48ad0b9,2025-09-01T19:53:17-05:00,illi,added 3d modeling model
3,c1afc952f3ee58485deca02340b438efc5ead103,133c4dfed3c095bba8fdb81d25f9565569ea33d0,2025-09-01T21:24:02-05:00,illi,feat: Atlas-as-Source-of-Truth detection system with >99.9% accuracy
4,3cf507182da0e82fc1c16ca01cc90669add24064,c1afc952f3ee58485deca02340b438efc5ead103,2025-09-01T21:26:02-05:00,illi,feat: Comprehensive brain model training system on real datasets
5,fc559c33451ffab052820f21396ddcbf92a1fa53,3cf507182da0e82fc1c16ca01cc90669add24064,2025-09-01T21:27:33-05:00,illi,feat: Dual-GPU parallel training acceleration system
6,38e248fb7e1f62320a6d38ffa94948fa023eaa6d,fc559c33451ffab052820f21396ddcbf92a1fa53,2025-09-01T21:28:57-05:00,illi,feat: Training showcase and data management utilities
7,e4699e4ae49e38646d4c378d9d70b0eb50ad763f,38e248fb7e1f62320a6d38ffa94948fa023eaa6d,2025-09-01T21:30:21-05:00,illi,feat: Training showcase and data management utilities
8,3876f11d91c52af85be9517c50e6f6dec5d81858,e4699e4ae49e38646d4c378d9d70b0eb50ad763f,2025-09-05T12:38:52-05:00,illi,scripts added
9,7c31d797fbf14f11468b97854de330232a67bbdc,3876f11d91c52af85be9517c50e6f6dec5d81858,2025-09-05T12:54:02-05:00,illi,"Remove large data files and dependencies from git tracking\n\n- Removed large .nii.gz brain imaging files from tracking\n- Removed model files (.pkl, .npz) from tracking\n- Removed large HTML visualizations from tracking\n- Updated .gitignore to exclude data, models, and cache directories\n- These files will now be handled by pip install and data download scripts\n- Repository size significantly reduced for GitHub push"
10,d48d3439c4dcf8ef00ebafdb2378334145ca7078,7c31d797fbf14f11468b97854de330232a67bbdc,2026-02-26T20:51:47-06:00,IllI,Updated .gitignore
11,7e696a14a8ab105cf6a2733cfd4f849d4104f385,d48d3439c4dcf8ef00ebafdb2378334145ca7078,2026-05-08T17:36:20-05:00,illi,feat(quantum-teleportation): OAT teleportation experiment — TPU v6e results
