family_id,date_start,date_end,aliases,role,status,evidence_grade,interest_score,summary,commits_or_state,report,priority
2026-05-08_oat_boundary,2026-05-08,2026-05-12,OAT initial,foundation|pivot,superseded,E3,4,Generated foundational trajectories but original finite-N fidelity formula was falsified,7e696a1|6bebc98|d9b6de3,reports/2026-05-08_12_FOUNDATION_TO_IBM.md,audit corrected state lineage
2026-05-08_moqe_discriminator,2026-05-08,2026-05-09,MoQE|D-LinOSS v3-v5,diagnostic,partial,E2,3,Classifier exposed cartoon-data circularity marginal probes and decoherence sensitivity,50104c9..9bfe855,reports/2026-05-08_12_FOUNDATION_TO_IBM.md,retain as negative-method history
2026-05-09_linear_witness,2026-05-09,2026-05-10,witness observer|hybrid controller,foundation|diagnostic,complete_unverified,E2,4,Linear witness replaced unreliable nonlinear concurrence target but only on synthetic generators,a36f72c|bfbfd44,reports/2026-05-08_12_FOUNDATION_TO_IBM.md,reproduce with independent generator
2026-05-11_modal_fingerprint,2026-05-11,2026-05-12,BIC fingerprint library,capability|control,partial,E3,6,Adversarial tests bounded D-LinOSS as morphology/model selection rather than universal classifier,a44addd..430cfa2,reports/2026-05-08_12_FOUNDATION_TO_IBM.md,audit archived training corpus
2026-05-12_ptm_correction,2026-05-12,2026-05-12,PTM theorem|channel correction,pivot|foundation,supported,E3,10,Falsified fidelity shortcut and Rz-only protocol then derived narrower exact PTM structure,d9b6de3..d322b30,reports/2026-05-08_12_FOUNDATION_TO_IBM.md,formal proof and notation audit
2026-05-12_recovery_geometry,2026-05-12,2026-05-12,V_Q|kappa_Q|criticality,foundation|diagnostic,partial,E2,8,Potentially interesting recovery-basin framework with optimizer-sensitive exponents and retractions,955c1ab..b7ae5df,reports/2026-05-08_12_FOUNDATION_TO_IBM.md,reproduce from raw arrays with preregistered estimators
2026-05-12_ibm_txx,2026-05-12,2026-05-12,IBM runs 1-3|Txx witness,replication|control,supported,E4,12,Archived counts support attenuated cos-squared witness curve and null on two layouts not full PTM rank collapse,016a0c8..616e49f,reports/2026-05-08_12_FOUNDATION_TO_IBM.md,publication-grade raw-count audit
2026-05-13_full_ptm_session2,2026-05-13,2026-05-13,Program C|Session 2,foundation|control,supported,E3,8,Full simulation exposed omitted Tyz and retained exact pi null,386724609f,reports/2026-05-13_18_OPERATOR_TRANSPORT_TO_PARTIAL_INFORMATION.md,reconcile fidelity conventions
2026-05-14_blind_stratification,2026-05-14,2026-05-14,Programs E/F,control|capability,supported,E3,10,Adversarial blind PTM-spectrum stratification with full-scale enrichment and informative orientation controls,4c74b4f|1395775|0a282cc,reports/2026-05-13_18_OPERATOR_TRANSPORT_TO_PARTIAL_INFORMATION.md,independent held-out corpus
2026-05-14_ptm_aligned_recovery,2026-05-14,2026-05-14,Programs G/G2,bridge|capability,complete_unverified,E3,9,Naive basis failed while SVD-aligned recovery matched optimization; 0.719 versus 0.770 lineage unresolved,d244e90|b330972,reports/2026-05-13_18_OPERATOR_TRANSPORT_TO_PARTIAL_INFORMATION.md,clean rerun and definition audit
2026-05-14_finite_size_recovery,2026-05-14,2026-05-14,Programs H/H2/H3,diagnostic|replication,complete_unverified,E3,8,Recoverability metric persisted beyond pairwise concurrence over tested sizes but still decayed,4ad6696..8819cc6,reports/2026-05-13_18_OPERATOR_TRANSPORT_TO_PARTIAL_INFORMATION.md,recheck finite-size and grid-floor effects
2026-05-14_representation_fronts,2026-05-14,2026-05-14,Programs I0/I+,diagnostic|control,supported,E3,10,XXZ agreement versus XY lag and Ising information-without-recoverability separates propagation concepts,8595188..ae87f52,reports/2026-05-13_18_OPERATOR_TRANSPORT_TO_PARTIAL_INFORMATION.md,replicate I+ beyond N10
2026-05-14_blind_prediction,2026-05-14,2026-05-15,Programs J/K,capability|control,partial,E3,8,High blind precision survived controls but strict causal-ordering claim failed,117e0fd..d8060e0,reports/2026-05-13_18_OPERATOR_TRANSPORT_TO_PARTIAL_INFORMATION.md,complete N14 and causal-resolution study
2026-05-16_adaptive_controller,2026-05-16,2026-05-17,Program N1-N10a,diagnostic|control,partial,E3,7,Iterative controller converged to W3 abstention boundary after multiple retired gates,f280d7d..5e99aee,reports/2026-05-13_18_OPERATOR_TRANSPORT_TO_PARTIAL_INFORMATION.md,separate Markdown-only stages from raw evidence
2026-05-17_endpoint_fidelity,2026-05-17,2026-05-18,Program O,control|pivot,complete_unverified,E2,10,Raw gains contradicted W3/OAT preregistration and commit subject miscounted passes as 57 not 51,d8ec209|741a2a3,reports/2026-05-13_18_OPERATOR_TRANSPORT_TO_PARTIAL_INFORMATION.md,highest-priority independent replication
2026-05-18_partial_information,2026-05-18,2026-05-18,Program P,bridge,implemented,E0,4,Extended endpoint fidelity toward reconstructable latent phase but no result was committed,8f119f2|7a01701,reports/2026-05-13_18_OPERATOR_TRANSPORT_TO_PARTIAL_INFORMATION.md,locate later results
2026-05-19_echo_recoverability,2026-05-19,2026-05-19,Programs Q/R/S1,diagnostic|bridge,complete_unverified,E3,7,Separated endpoint fidelity distinguishability and echo recoverability; deformation could be reversible while fidelity fell,c14592b,reports/2026-05-19_31_RECOVERY_TO_SEMANTIC_TRANSPORT.md,verify missing failover log
2026-05-19_spatial_noisy_transport,2026-05-19,2026-05-19,Programs T/U,capability|diagnostic,partial,E2,6,Introduced local spatial geometry and CPTP noise but tiny samples and zero-intervention wins limit claims,f574328|0c8ecc3|9fb89aa|e3334a9,reports/2026-05-19_31_RECOVERY_TO_SEMANTIC_TRANSPORT.md,larger preregistered replication
2026-05-19_trigger_boundary,2026-05-19,2026-05-23,Programs V/V2/W,control|diagnostic,partial,E3,7,Multiple adaptive arms fired zero gates; corrected W effects were small mixed and non-universal,5797fea..154755a,reports/2026-05-19_31_RECOVERY_TO_SEMANTIC_TRANSPORT.md,audit trigger activation first
2026-05-20_mera_observability,2026-05-20,2026-05-21,Programs X/Y/Z/AA,diagnostic|capability,null,E3,8,Renormalized observables predicted recovery better but active controls did not improve logical fidelity,e21d5e0|b481221|2bdc8d4|831e9d5,reports/2026-05-19_31_RECOVERY_TO_SEMANTIC_TRANSPORT.md,potential negative-method paper
2026-05-21_semantic_moving_frames,2026-05-21,2026-05-21,Programs AB/AD/AE/AF,diagnostic|bridge,indeterminate,E1,5,Chance decoding and incomplete evidence prompted moving-frame formulation; AE summary is empty,4774156|6fad43c|644654b|33b8753,reports/2026-05-19_31_RECOVERY_TO_SEMANTIC_TRANSPORT.md,recover AD/AE raw outputs if possible
